T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26
consensus,plan,plan,plan,consensus,consensus,adapt,cohesion,coregulate,coregulate,consensus,emotion,consensus,plan,plan,plan,plan,consensus,plan,emotion,cohesion,,,,,
consensus,plan,discuss,adapt,coregulate,consensus,plan,plan,emotion,cohesion,emotion,cohesion,consensus,plan,consensus,coregulate,monitor,consensus,plan,plan,plan,,,,,
monitor,discuss,coregulate,cohesion,consensus,discuss,consensus,plan,consensus,plan,,,,,,,,,,,,,,,,
coregulate,consensus,plan,plan,,,,,,,,,,,,,,,,,,,,,,
consensus,coregulate,,,,,,,,,,,,,,,,,,,,,,,,
coregulate,emotion,plan,consensus,discuss,synthesis,consensus,discuss,emotion,,,,,,,,,,,,,,,,,
plan,consensus,coregulate,consensus,plan,emotion,consensus,consensus,coregulate,discuss,adapt,,,,,,,,,,,,,,,
consensus,plan,emotion,plan,plan,,,,,,,,,,,,,,,,,,,,,
synthesis,consensus,discuss,consensus,plan,,,,,,,,,,,,,,,,,,,,,
monitor,plan,plan,consensus,coregulate,adapt,cohesion,plan,discuss,adapt,consensus,consensus,coregulate,emotion,consensus,coregulate,discuss,synthesis,,,,,,,,
plan,emotion,cohesion,coregulate,consensus,plan,plan,plan,plan,consensus,emotion,discuss,emotion,,,,,,,,,,,,,
plan,discuss,adapt,consensus,coregulate,emotion,consensus,plan,consensus,consensus,consensus,,,,,,,,,,,,,,,
consensus,plan,plan,monitor,plan,plan,consensus,,,,,,,,,,,,,,,,,,,
consensus,plan,consensus,plan,consensus,coregulate,discuss,synthesis,consensus,plan,consensus,monitor,plan,consensus,coregulate,consensus,,,,,,,,,,
plan,plan,plan,emotion,consensus,coregulate,coregulate,discuss,discuss,discuss,consensus,plan,plan,plan,plan,plan,consensus,,,,,,,,,
plan,plan,cohesion,consensus,,,,,,,,,,,,,,,,,,,,,,
monitor,emotion,cohesion,plan,plan,emotion,monitor,consensus,monitor,discuss,consensus,plan,consensus,plan,consensus,discuss,emotion,plan,plan,consensus,plan,cohesion,consensus,,,
monitor,discuss,emotion,plan,plan,plan,emotion,consensus,emotion,consensus,,,,,,,,,,,,,,,,
monitor,coregulate,emotion,cohesion,consensus,plan,emotion,cohesion,monitor,discuss,discuss,discuss,synthesis,,,,,,,,,,,,,
plan,consensus,coregulate,discuss,discuss,adapt,consensus,discuss,consensus,plan,,,,,,,,,,,,,,,,
discuss,coregulate,consensus,plan,plan,emotion,cohesion,consensus,plan,monitor,plan,emotion,cohesion,consensus,emotion,emotion,emotion,cohesion,monitor,discuss,adapt,consensus,plan,plan,,
consensus,plan,coregulate,emotion,plan,plan,plan,plan,plan,plan,plan,monitor,consensus,consensus,,,,,,,,,,,,
discuss,adapt,consensus,coregulate,consensus,coregulate,emotion,consensus,consensus,coregulate,discuss,consensus,plan,plan,,,,,,,,,,,,
discuss,discuss,monitor,discuss,synthesis,emotion,emotion,consensus,plan,emotion,emotion,cohesion,consensus,emotion,,,,,,,,,,,,
coregulate,discuss,cohesion,consensus,coregulate,plan,consensus,plan,emotion,consensus,plan,consensus,cohesion,discuss,,,,,,,,,,,,
consensus,plan,consensus,plan,consensus,plan,plan,plan,discuss,cohesion,cohesion,consensus,plan,plan,discuss,cohesion,emotion,,,,,,,,,
consensus,discuss,discuss,consensus,plan,emotion,,,,,,,,,,,,,,,,,,,,
emotion,emotion,cohesion,plan,plan,plan,plan,emotion,emotion,coregulate,plan,monitor,discuss,discuss,discuss,discuss,adapt,consensus,coregulate,discuss,coregulate,,,,,
adapt,consensus,plan,discuss,discuss,,,,,,,,,,,,,,,,,,,,,
monitor,discuss,consensus,plan,plan,consensus,coregulate,discuss,emotion,cohesion,monitor,emotion,monitor,discuss,adapt,discuss,synthesis,,,,,,,,,
consensus,plan,discuss,discuss,emotion,cohesion,coregulate,emotion,plan,plan,plan,monitor,consensus,,,,,,,,,,,,,
cohesion,consensus,plan,plan,consensus,monitor,monitor,discuss,discuss,coregulate,emotion,cohesion,consensus,plan,consensus,plan,plan,plan,consensus,consensus,,,,,,
plan,emotion,cohesion,consensus,plan,consensus,discuss,discuss,consensus,cohesion,consensus,coregulate,consensus,plan,consensus,discuss,emotion,,,,,,,,,
consensus,plan,monitor,discuss,monitor,consensus,discuss,coregulate,discuss,coregulate,plan,discuss,adapt,consensus,plan,plan,consensus,coregulate,discuss,emotion,emotion,discuss,coregulate,discuss,synthesis,consensus
plan,plan,emotion,consensus,coregulate,plan,plan,consensus,plan,discuss,discuss,coregulate,monitor,synthesis,adapt,discuss,emotion,consensus,monitor,consensus,consensus,plan,discuss,synthesis,,
emotion,cohesion,coregulate,discuss,synthesis,consensus,plan,consensus,consensus,cohesion,coregulate,consensus,plan,consensus,consensus,monitor,plan,,,,,,,,,
consensus,coregulate,discuss,consensus,emotion,cohesion,consensus,consensus,plan,monitor,consensus,plan,emotion,plan,emotion,consensus,coregulate,coregulate,consensus,plan,,,,,,
emotion,consensus,,,,,,,,,,,,,,,,,,,,,,,,
emotion,cohesion,consensus,plan,monitor,plan,,,,,,,,,,,,,,,,,,,,
consensus,coregulate,emotion,,,,,,,,,,,,,,,,,,,,,,,
consensus,plan,,,,,,,,,,,,,,,,,,,,,,,,
emotion,consensus,discuss,synthesis,adapt,emotion,emotion,cohesion,discuss,adapt,plan,consensus,plan,,,,,,,,,,,,,
plan,plan,consensus,consensus,plan,,,,,,,,,,,,,,,,,,,,,
plan,emotion,plan,,,,,,,,,,,,,,,,,,,,,,,
plan,discuss,monitor,discuss,synthesis,cohesion,consensus,cohesion,consensus,emotion,cohesion,consensus,plan,plan,emotion,cohesion,consensus,plan,consensus,coregulate,consensus,coregulate,discuss,,,
plan,consensus,monitor,consensus,coregulate,discuss,discuss,consensus,plan,consensus,discuss,synthesis,adapt,cohesion,consensus,plan,emotion,cohesion,consensus,discuss,consensus,emotion,discuss,,,
monitor,plan,consensus,,,,,,,,,,,,,,,,,,,,,,,
consensus,discuss,consensus,consensus,discuss,synthesis,adapt,consensus,plan,plan,consensus,discuss,consensus,coregulate,discuss,discuss,consensus,plan,plan,consensus,discuss,adapt,cohesion,emotion,discuss,discuss
coregulate,consensus,plan,consensus,plan,consensus,monitor,discuss,discuss,cohesion,consensus,plan,emotion,cohesion,consensus,plan,consensus,plan,plan,plan,consensus,plan,consensus,plan,plan,consensus
discuss,discuss,emotion,plan,consensus,cohesion,coregulate,consensus,plan,plan,plan,,,,,,,,,,,,,,,
discuss,discuss,emotion,emotion,coregulate,consensus,plan,monitor,coregulate,discuss,synthesis,consensus,discuss,discuss,adapt,emotion,discuss,coregulate,discuss,,,,,,,
plan,cohesion,consensus,plan,emotion,consensus,emotion,plan,plan,plan,plan,consensus,plan,discuss,discuss,discuss,synthesis,,,,,,,,,
discuss,adapt,cohesion,consensus,coregulate,emotion,discuss,discuss,adapt,consensus,plan,consensus,coregulate,discuss,synthesis,consensus,consensus,plan,plan,consensus,coregulate,,,,,
discuss,discuss,discuss,,,,,,,,,,,,,,,,,,,,,,,
cohesion,monitor,consensus,discuss,emotion,consensus,consensus,emotion,cohesion,coregulate,,,,,,,,,,,,,,,,
plan,consensus,plan,plan,plan,plan,plan,plan,emotion,discuss,emotion,consensus,,,,,,,,,,,,,,
emotion,cohesion,coregulate,plan,discuss,emotion,cohesion,emotion,consensus,consensus,plan,consensus,monitor,discuss,synthesis,consensus,,,,,,,,,,
consensus,consensus,coregulate,cohesion,consensus,emotion,plan,plan,consensus,plan,emotion,cohesion,coregulate,emotion,cohesion,consensus,plan,plan,consensus,monitor,cohesion,emotion,plan,plan,,
consensus,coregulate,discuss,synthesis,consensus,plan,discuss,consensus,adapt,consensus,plan,monitor,coregulate,coregulate,plan,plan,consensus,discuss,synthesis,adapt,cohesion,,,,,
emotion,cohesion,,,,,,,,,,,,,,,,,,,,,,,,
monitor,discuss,adapt,coregulate,synthesis,monitor,monitor,consensus,plan,plan,,,,,,,,,,,,,,,,
plan,discuss,adapt,cohesion,consensus,plan,plan,monitor,emotion,emotion,consensus,monitor,discuss,synthesis,consensus,discuss,synthesis,consensus,plan,,,,,,,
coregulate,plan,plan,emotion,coregulate,discuss,synthesis,adapt,cohesion,,,,,,,,,,,,,,,,,
coregulate,discuss,adapt,cohesion,consensus,plan,consensus,coregulate,monitor,emotion,,,,,,,,,,,,,,,,
consensus,plan,consensus,plan,plan,plan,monitor,plan,cohesion,plan,plan,consensus,plan,monitor,discuss,discuss,emotion,plan,consensus,monitor,monitor,emotion,consensus,discuss,synthesis,
coregulate,monitor,discuss,consensus,plan,monitor,plan,consensus,plan,plan,plan,discuss,emotion,consensus,plan,plan,consensus,plan,cohesion,monitor,plan,discuss,consensus,discuss,synthesis,
discuss,consensus,,,,,,,,,,,,,,,,,,,,,,,,
plan,plan,plan,consensus,plan,consensus,discuss,adapt,consensus,monitor,discuss,discuss,coregulate,discuss,coregulate,discuss,coregulate,discuss,consensus,coregulate,emotion,coregulate,coregulate,monitor,discuss,
monitor,discuss,emotion,consensus,plan,plan,plan,discuss,coregulate,consensus,monitor,,,,,,,,,,,,,,,
monitor,discuss,synthesis,consensus,coregulate,emotion,consensus,coregulate,discuss,monitor,coregulate,plan,plan,plan,plan,emotion,consensus,coregulate,emotion,consensus,plan,,,,,
monitor,cohesion,consensus,discuss,emotion,monitor,discuss,synthesis,adapt,emotion,consensus,plan,consensus,plan,plan,plan,consensus,discuss,discuss,discuss,emotion,consensus,consensus,plan,,
plan,monitor,plan,plan,plan,plan,monitor,consensus,plan,consensus,coregulate,consensus,coregulate,cohesion,,,,,,,,,,,,
consensus,plan,plan,consensus,discuss,discuss,coregulate,plan,plan,consensus,discuss,emotion,discuss,adapt,consensus,consensus,plan,emotion,coregulate,monitor,monitor,,,,,
consensus,plan,consensus,plan,consensus,plan,discuss,consensus,plan,plan,monitor,consensus,,,,,,,,,,,,,,
consensus,discuss,adapt,consensus,discuss,cohesion,consensus,consensus,monitor,plan,plan,discuss,discuss,,,,,,,,,,,,,
plan,plan,plan,consensus,plan,monitor,consensus,plan,emotion,cohesion,consensus,consensus,plan,discuss,monitor,discuss,discuss,discuss,consensus,plan,consensus,monitor,discuss,discuss,,
monitor,plan,consensus,coregulate,consensus,plan,plan,consensus,emotion,emotion,emotion,cohesion,emotion,discuss,synthesis,coregulate,discuss,cohesion,plan,plan,plan,discuss,coregulate,discuss,,
consensus,discuss,adapt,consensus,coregulate,coregulate,adapt,consensus,plan,plan,cohesion,consensus,plan,plan,consensus,plan,plan,cohesion,discuss,synthesis,coregulate,discuss,synthesis,,,
discuss,plan,consensus,plan,consensus,plan,monitor,consensus,emotion,monitor,discuss,consensus,plan,coregulate,discuss,synthesis,emotion,plan,plan,monitor,plan,plan,plan,,,
consensus,discuss,discuss,discuss,discuss,consensus,discuss,consensus,discuss,discuss,coregulate,consensus,coregulate,consensus,monitor,discuss,adapt,,,,,,,,,
emotion,cohesion,consensus,emotion,emotion,consensus,discuss,coregulate,monitor,discuss,consensus,discuss,synthesis,adapt,coregulate,adapt,consensus,plan,plan,consensus,coregulate,,,,,
consensus,plan,plan,plan,plan,plan,consensus,coregulate,discuss,adapt,emotion,cohesion,plan,consensus,discuss,,,,,,,,,,,
plan,emotion,consensus,discuss,coregulate,cohesion,plan,plan,emotion,plan,emotion,consensus,coregulate,discuss,consensus,monitor,consensus,coregulate,discuss,adapt,consensus,plan,plan,coregulate,discuss,
emotion,cohesion,coregulate,consensus,discuss,consensus,discuss,synthesis,plan,plan,plan,plan,consensus,discuss,cohesion,consensus,discuss,consensus,monitor,emotion,cohesion,consensus,plan,,,
discuss,emotion,cohesion,consensus,plan,plan,plan,plan,plan,plan,plan,plan,discuss,discuss,adapt,coregulate,emotion,plan,consensus,,,,,,,
discuss,coregulate,consensus,plan,discuss,synthesis,consensus,discuss,discuss,plan,monitor,plan,plan,,,,,,,,,,,,,
plan,plan,emotion,emotion,cohesion,plan,plan,emotion,cohesion,plan,monitor,,,,,,,,,,,,,,,
consensus,plan,plan,plan,plan,plan,monitor,,,,,,,,,,,,,,,,,,,
consensus,monitor,discuss,discuss,cohesion,coregulate,emotion,consensus,discuss,coregulate,plan,plan,consensus,emotion,discuss,consensus,plan,plan,plan,consensus,coregulate,plan,plan,,,
plan,discuss,coregulate,synthesis,consensus,plan,plan,emotion,cohesion,coregulate,emotion,cohesion,consensus,plan,consensus,plan,consensus,plan,coregulate,discuss,,,,,,
plan,plan,plan,plan,plan,emotion,cohesion,consensus,coregulate,discuss,consensus,plan,monitor,consensus,plan,plan,consensus,plan,plan,consensus,plan,consensus,cohesion,,,
emotion,emotion,discuss,emotion,discuss,adapt,coregulate,emotion,cohesion,consensus,coregulate,monitor,consensus,plan,coregulate,plan,plan,plan,discuss,coregulate,plan,plan,,,,
cohesion,discuss,consensus,discuss,consensus,plan,plan,plan,coregulate,cohesion,consensus,plan,emotion,consensus,plan,plan,plan,emotion,consensus,plan,coregulate,consensus,plan,plan,plan,
emotion,coregulate,coregulate,plan,plan,plan,plan,consensus,plan,consensus,emotion,consensus,consensus,plan,cohesion,coregulate,,,,,,,,,,
plan,plan,consensus,monitor,plan,consensus,plan,coregulate,synthesis,adapt,cohesion,plan,consensus,coregulate,monitor,plan,consensus,coregulate,monitor,discuss,monitor,plan,consensus,plan,consensus,plan
consensus,coregulate,monitor,consensus,emotion,consensus,coregulate,emotion,cohesion,consensus,plan,plan,consensus,coregulate,consensus,coregulate,synthesis,adapt,consensus,discuss,,,,,,
discuss,emotion,cohesion,consensus,coregulate,monitor,coregulate,adapt,consensus,plan,plan,monitor,discuss,emotion,consensus,consensus,emotion,,,,,,,,,
consensus,plan,consensus,plan,consensus,emotion,,,,,,,,,,,,,,,,,,,,
emotion,emotion,cohesion,coregulate,plan,consensus,,,,,,,,,,,,,,,,,,,,
cohesion,discuss,emotion,emotion,consensus,discuss,coregulate,discuss,adapt,emotion,consensus,plan,consensus,discuss,coregulate,plan,plan,consensus,monitor,coregulate,discuss,,,,,
consensus,discuss,discuss,,,,,,,,,,,,,,,,,,,,,,,
consensus,plan,consensus,plan,plan,consensus,monitor,plan,consensus,,,,,,,,,,,,,,,,,
consensus,plan,plan,,,,,,,,,,,,,,,,,,,,,,,
discuss,coregulate,consensus,consensus,discuss,discuss,synthesis,coregulate,consensus,plan,plan,,,,,,,,,,,,,,,
coregulate,consensus,discuss,consensus,coregulate,emotion,cohesion,discuss,discuss,consensus,plan,consensus,plan,consensus,,,,,,,,,,,,
emotion,cohesion,consensus,,,,,,,,,,,,,,,,,,,,,,,
consensus,emotion,cohesion,consensus,plan,emotion,cohesion,emotion,cohesion,consensus,coregulate,discuss,discuss,consensus,plan,consensus,,,,,,,,,,
discuss,consensus,plan,plan,consensus,coregulate,discuss,consensus,discuss,discuss,emotion,consensus,adapt,cohesion,consensus,monitor,emotion,consensus,,,,,,,,
monitor,plan,consensus,plan,plan,consensus,coregulate,discuss,adapt,consensus,plan,plan,emotion,consensus,plan,plan,discuss,consensus,plan,,,,,,,
synthesis,consensus,plan,monitor,discuss,consensus,discuss,discuss,coregulate,cohesion,,,,,,,,,,,,,,,,
monitor,plan,plan,plan,cohesion,consensus,discuss,emotion,cohesion,consensus,,,,,,,,,,,,,,,,
discuss,consensus,coregulate,emotion,cohesion,coregulate,emotion,cohesion,consensus,plan,emotion,cohesion,plan,consensus,synthesis,adapt,cohesion,discuss,,,,,,,,
discuss,adapt,consensus,plan,plan,consensus,discuss,discuss,adapt,cohesion,plan,plan,discuss,discuss,adapt,discuss,monitor,discuss,synthesis,consensus,coregulate,emotion,emotion,,,
plan,plan,emotion,coregulate,,,,,,,,,,,,,,,,,,,,,,
plan,monitor,discuss,discuss,discuss,consensus,consensus,discuss,synthesis,adapt,cohesion,consensus,plan,plan,,,,,,,,,,,,
monitor,cohesion,consensus,,,,,,,,,,,,,,,,,,,,,,,
discuss,consensus,coregulate,cohesion,consensus,monitor,consensus,discuss,consensus,,,,,,,,,,,,,,,,,
synthesis,adapt,consensus,plan,consensus,plan,consensus,,,,,,,,,,,,,,,,,,,
plan,discuss,coregulate,emotion,cohesion,consensus,consensus,plan,plan,emotion,discuss,cohesion,discuss,,,,,,,,,,,,,
emotion,discuss,discuss,consensus,coregulate,cohesion,plan,,,,,,,,,,,,,,,,,,,
plan,plan,consensus,plan,consensus,coregulate,consensus,discuss,synthesis,discuss,consensus,coregulate,discuss,adapt,cohesion,consensus,coregulate,discuss,discuss,synthesis,,,,,,
discuss,emotion,discuss,synthesis,emotion,consensus,plan,consensus,coregulate,synthesis,consensus,plan,plan,plan,plan,plan,plan,plan,plan,plan,plan,plan,emotion,consensus,plan,
cohesion,consensus,monitor,emotion,discuss,synthesis,emotion,cohesion,consensus,plan,cohesion,consensus,plan,consensus,plan,monitor,,,,,,,,,,
plan,discuss,discuss,adapt,consensus,plan,,,,,,,,,,,,,,,,,,,,
monitor,discuss,coregulate,plan,plan,plan,,,,,,,,,,,,,,,,,,,,
consensus,plan,emotion,plan,coregulate,plan,consensus,emotion,consensus,coregulate,emotion,plan,plan,emotion,consensus,plan,consensus,emotion,consensus,emotion,cohesion,coregulate,consensus,plan,plan,plan
monitor,coregulate,cohesion,emotion,cohesion,discuss,discuss,synthesis,adapt,cohesion,coregulate,plan,monitor,plan,emotion,cohesion,consensus,monitor,discuss,,,,,,,
monitor,discuss,cohesion,emotion,cohesion,coregulate,emotion,cohesion,consensus,coregulate,discuss,coregulate,emotion,discuss,discuss,synthesis,monitor,discuss,emotion,cohesion,,,,,,
consensus,consensus,discuss,discuss,discuss,consensus,coregulate,coregulate,plan,plan,emotion,consensus,plan,consensus,synthesis,consensus,plan,plan,plan,emotion,emotion,plan,plan,plan,,
monitor,emotion,cohesion,consensus,plan,discuss,,,,,,,,,,,,,,,,,,,,
monitor,adapt,consensus,coregulate,plan,plan,emotion,emotion,consensus,plan,emotion,cohesion,consensus,coregulate,emotion,coregulate,discuss,,,,,,,,,
plan,discuss,adapt,cohesion,consensus,consensus,plan,monitor,discuss,emotion,discuss,,,,,,,,,,,,,,,
plan,plan,emotion,discuss,discuss,cohesion,cohesion,consensus,monitor,plan,consensus,plan,consensus,plan,consensus,plan,plan,plan,consensus,monitor,discuss,monitor,,,,
consensus,plan,discuss,discuss,coregulate,discuss,adapt,consensus,,,,,,,,,,,,,,,,,,
discuss,adapt,emotion,plan,cohesion,emotion,cohesion,consensus,,,,,,,,,,,,,,,,,,
discuss,coregulate,emotion,cohesion,,,,,,,,,,,,,,,,,,,,,,
monitor,consensus,consensus,consensus,coregulate,discuss,synthesis,consensus,discuss,synthesis,consensus,plan,consensus,plan,discuss,discuss,,,,,,,,,,
plan,plan,plan,,,,,,,,,,,,,,,,,,,,,,,
consensus,plan,consensus,coregulate,discuss,discuss,synthesis,consensus,coregulate,plan,plan,emotion,consensus,monitor,discuss,coregulate,monitor,plan,plan,plan,,,,,,
monitor,plan,plan,,,,,,,,,,,,,,,,,,,,,,,
monitor,consensus,plan,plan,plan,plan,consensus,monitor,discuss,emotion,consensus,coregulate,discuss,synthesis,discuss,consensus,plan,consensus,consensus,plan,plan,consensus,discuss,,,
discuss,consensus,consensus,plan,plan,coregulate,plan,,,,,,,,,,,,,,,,,,,
consensus,plan,consensus,,,,,,,,,,,,,,,,,,,,,,,
plan,consensus,plan,plan,consensus,coregulate,plan,plan,cohesion,,,,,,,,,,,,,,,,,
monitor,cohesion,consensus,coregulate,discuss,discuss,monitor,discuss,discuss,consensus,plan,emotion,consensus,synthesis,cohesion,,,,,,,,,,,
plan,plan,monitor,emotion,consensus,discuss,synthesis,cohesion,emotion,cohesion,consensus,plan,discuss,coregulate,emotion,monitor,consensus,synthesis,adapt,consensus,coregulate,discuss,,,,
emotion,cohesion,consensus,plan,emotion,monitor,consensus,coregulate,,,,,,,,,,,,,,,,,,
monitor,emotion,consensus,monitor,plan,consensus,consensus,coregulate,plan,,,,,,,,,,,,,,,,,
plan,discuss,adapt,cohesion,consensus,consensus,plan,monitor,discuss,synthesis,consensus,coregulate,consensus,discuss,emotion,consensus,plan,emotion,consensus,discuss,,,,,,
synthesis,consensus,coregulate,discuss,adapt,plan,emotion,cohesion,,,,,,,,,,,,,,,,,,
plan,consensus,consensus,plan,coregulate,cohesion,consensus,coregulate,plan,consensus,emotion,emotion,emotion,consensus,coregulate,plan,adapt,consensus,coregulate,consensus,coregulate,emotion,plan,consensus,monitor,coregulate
plan,emotion,consensus,coregulate,plan,plan,plan,emotion,consensus,plan,plan,plan,consensus,monitor,discuss,discuss,plan,plan,consensus,plan,monitor,plan,,,,
plan,plan,discuss,adapt,consensus,discuss,consensus,monitor,emotion,,,,,,,,,,,,,,,,,
plan,consensus,consensus,consensus,plan,consensus,plan,discuss,consensus,plan,plan,,,,,,,,,,,,,,,
discuss,consensus,plan,emotion,cohesion,consensus,plan,emotion,cohesion,coregulate,discuss,discuss,emotion,cohesion,discuss,consensus,consensus,plan,plan,cohesion,coregulate,consensus,plan,,,
plan,monitor,discuss,,,,,,,,,,,,,,,,,,,,,,,
consensus,discuss,discuss,discuss,consensus,plan,plan,consensus,plan,consensus,discuss,synthesis,consensus,discuss,synthesis,consensus,plan,consensus,adapt,cohesion,consensus,coregulate,consensus,emotion,cohesion,
emotion,consensus,plan,,,,,,,,,,,,,,,,,,,,,,,
discuss,synthesis,discuss,,,,,,,,,,,,,,,,,,,,,,,
consensus,plan,plan,consensus,coregulate,consensus,discuss,coregulate,plan,consensus,coregulate,plan,plan,consensus,monitor,,,,,,,,,,,
emotion,consensus,plan,plan,plan,plan,consensus,consensus,,,,,,,,,,,,,,,,,,
emotion,monitor,plan,monitor,cohesion,plan,consensus,plan,plan,plan,plan,plan,plan,plan,monitor,discuss,discuss,cohesion,plan,,,,,,,
emotion,plan,plan,plan,plan,plan,plan,consensus,discuss,consensus,,,,,,,,,,,,,,,,
monitor,discuss,emotion,cohesion,plan,plan,consensus,,,,,,,,,,,,,,,,,,,
monitor,discuss,coregulate,discuss,emotion,plan,plan,plan,plan,consensus,plan,monitor,plan,plan,monitor,emotion,consensus,plan,plan,plan,plan,,,,,
discuss,consensus,discuss,synthesis,consensus,plan,monitor,discuss,discuss,cohesion,,,,,,,,,,,,,,,,
emotion,consensus,coregulate,discuss,discuss,consensus,,,,,,,,,,,,,,,,,,,,
emotion,cohesion,plan,plan,consensus,emotion,cohesion,consensus,coregulate,monitor,plan,consensus,monitor,plan,plan,cohesion,emotion,consensus,coregulate,discuss,,,,,,
emotion,emotion,consensus,plan,consensus,plan,plan,plan,discuss,consensus,plan,plan,plan,consensus,coregulate,emotion,consensus,plan,consensus,monitor,discuss,adapt,,,,
plan,consensus,plan,plan,consensus,plan,consensus,plan,plan,consensus,plan,consensus,monitor,cohesion,,,,,,,,,,,,
synthesis,consensus,plan,consensus,synthesis,adapt,coregulate,coregulate,plan,plan,plan,consensus,monitor,discuss,consensus,discuss,monitor,monitor,consensus,coregulate,monitor,,,,,
consensus,coregulate,discuss,,,,,,,,,,,,,,,,,,,,,,,
emotion,cohesion,coregulate,discuss,cohesion,consensus,coregulate,plan,emotion,cohesion,consensus,plan,emotion,cohesion,coregulate,,,,,,,,,,,
monitor,discuss,adapt,,,,,,,,,,,,,,,,,,,,,,,
consensus,synthesis,emotion,discuss,discuss,consensus,emotion,monitor,emotion,plan,coregulate,plan,consensus,emotion,cohesion,consensus,plan,,,,,,,,,
consensus,plan,monitor,plan,consensus,discuss,plan,plan,plan,plan,emotion,monitor,emotion,consensus,,,,,,,,,,,,
discuss,discuss,coregulate,discuss,consensus,discuss,discuss,adapt,emotion,emotion,cohesion,plan,discuss,consensus,monitor,consensus,plan,consensus,coregulate,plan,consensus,plan,,,,
plan,emotion,cohesion,emotion,monitor,cohesion,consensus,coregulate,,,,,,,,,,,,,,,,,,
coregulate,plan,plan,emotion,plan,,,,,,,,,,,,,,,,,,,,,
monitor,plan,emotion,cohesion,consensus,discuss,emotion,cohesion,coregulate,discuss,discuss,consensus,emotion,discuss,discuss,consensus,monitor,cohesion,cohesion,coregulate,,,,,,
emotion,cohesion,plan,monitor,consensus,plan,plan,consensus,,,,,,,,,,,,,,,,,,
consensus,plan,plan,plan,plan,plan,plan,consensus,plan,plan,plan,consensus,plan,plan,plan,monitor,plan,emotion,emotion,consensus,plan,plan,discuss,discuss,,
emotion,consensus,discuss,coregulate,emotion,cohesion,consensus,plan,plan,emotion,discuss,synthesis,consensus,,,,,,,,,,,,,
monitor,discuss,consensus,coregulate,emotion,consensus,plan,consensus,plan,monitor,plan,monitor,monitor,discuss,plan,consensus,emotion,discuss,adapt,,,,,,,
cohesion,discuss,emotion,coregulate,emotion,discuss,coregulate,emotion,cohesion,emotion,consensus,discuss,adapt,cohesion,emotion,cohesion,consensus,monitor,cohesion,,,,,,,
coregulate,discuss,synthesis,adapt,consensus,plan,emotion,cohesion,coregulate,emotion,coregulate,discuss,cohesion,plan,plan,monitor,discuss,discuss,emotion,,,,,,,
adapt,cohesion,coregulate,plan,monitor,discuss,synthesis,adapt,cohesion,consensus,adapt,consensus,plan,consensus,plan,plan,,,,,,,,,,
consensus,plan,plan,plan,plan,plan,discuss,consensus,plan,plan,consensus,consensus,consensus,coregulate,consensus,plan,plan,emotion,consensus,coregulate,consensus,plan,emotion,,,
monitor,discuss,consensus,plan,monitor,plan,emotion,cohesion,consensus,coregulate,coregulate,plan,monitor,discuss,coregulate,monitor,discuss,consensus,plan,,,,,,,
emotion,consensus,plan,plan,discuss,emotion,consensus,emotion,cohesion,emotion,plan,consensus,plan,emotion,plan,consensus,plan,emotion,coregulate,,,,,,,
discuss,monitor,discuss,discuss,synthesis,consensus,plan,,,,,,,,,,,,,,,,,,,
monitor,plan,plan,plan,cohesion,emotion,cohesion,monitor,discuss,discuss,synthesis,,,,,,,,,,,,,,,
consensus,consensus,consensus,coregulate,discuss,discuss,discuss,consensus,plan,plan,monitor,consensus,coregulate,plan,consensus,plan,plan,consensus,coregulate,,,,,,,
plan,plan,plan,plan,consensus,emotion,cohesion,coregulate,plan,plan,plan,consensus,plan,plan,emotion,consensus,monitor,,,,,,,,,
plan,plan,consensus,plan,plan,plan,plan,monitor,consensus,coregulate,,,,,,,,,,,,,,,,
plan,consensus,discuss,emotion,discuss,synthesis,consensus,plan,plan,plan,emotion,plan,consensus,plan,plan,consensus,plan,plan,monitor,discuss,consensus,plan,emotion,,,
consensus,consensus,monitor,discuss,coregulate,plan,plan,discuss,emotion,consensus,plan,consensus,coregulate,,,,,,,,,,,,,
consensus,discuss,discuss,adapt,consensus,plan,plan,plan,plan,discuss,adapt,consensus,plan,consensus,,,,,,,,,,,,
discuss,synthesis,adapt,monitor,discuss,discuss,discuss,synthesis,consensus,discuss,consensus,plan,,,,,,,,,,,,,,
plan,monitor,plan,,,,,,,,,,,,,,,,,,,,,,,
monitor,discuss,synthesis,,,,,,,,,,,,,,,,,,,,,,,
monitor,consensus,discuss,emotion,cohesion,discuss,consensus,discuss,synthesis,consensus,plan,plan,plan,emotion,consensus,discuss,discuss,synthesis,,,,,,,,
emotion,cohesion,coregulate,discuss,synthesis,consensus,consensus,emotion,cohesion,coregulate,,,,,,,,,,,,,,,,
consensus,discuss,coregulate,monitor,plan,emotion,discuss,plan,monitor,discuss,,,,,,,,,,,,,,,,
emotion,emotion,plan,plan,,,,,,,,,,,,,,,,,,,,,,
plan,emotion,cohesion,plan,plan,monitor,plan,consensus,plan,emotion,consensus,plan,discuss,synthesis,adapt,,,,,,,,,,,
emotion,monitor,consensus,consensus,plan,plan,plan,,,,,,,,,,,,,,,,,,,
monitor,discuss,synthesis,consensus,,,,,,,,,,,,,,,,,,,,,,
